season,casual,registered,cnt,holiday,weekday,workingday,mnth
springer,331,654,985,0,6,0,1
springer,131,670,801,0,0,0,1
springer,120,1229,1349,0,1,1,1
springer,108,1454,1562,0,2,1,1
springer,82,1518,1600,0,3,1,1
springer,88,1518,1606,0,4,1,1
springer,148,1362,1510,0,5,1,1
springer,68,891,959,0,6,0,1
springer,54,768,822,0,0,0,1
springer,41,1280,1321,0,1,1,1
springer,43,1220,1263,0,2,1,1
springer,25,1137,1162,0,3,1,1
springer,25,1137,1162,0,3,1,12
springer,25,1137,1162,0,2,1,1
springer,25,1137,1162,0,2,1,12
springer,103,1059,1162,0,3,1,1
springer,103,1059,1162,0,3,1,12
springer,103,1059,1162,0,2,1,1
springer,103,1059,1162,0,2,1,12
springer,38,1368,1406,0,4,1,1
springer,54,1367,1421,0,5,1,1
springer,222,1026,1248,0,6,0,1
springer,251,953,1204,0,0,0,1
springer,117,883,1000,1,1,0,1
springer,9,674,683,0,2,1,1
springer,78,1572,1650,0,3,1,1
springer,83,1844,1927,0,4,1,1
springer,75,1468,1543,0,5,1,1
springer,93,888,981,0,6,0,1
springer,150,836,986,0,0,0,1
springer,86,1330,1416,0,1,1,1
springer,186,1799,1985,0,2,1,1
springer,34,472,506,0,3,1,1
springer,15,416,431,0,4,1,1
springer,38,1129,1167,0,5,1,1
springer,123,975,1098,0,6,0,1
springer,140,956,1096,0,0,0,1
springer,140,956,1096,0,0,0,10
springer,140,956,1096,0,2,1,1
springer,140,956,1096,0,2,1,10
winter,87,1009,1096,0,0,0,1
winter,87,1009,1096,0,0,0,10
winter,87,1009,1096,0,2,1,1
winter,87,1009,1096,0,2,1,10
springer,42,1459,1501,0,1,1,1
springer,47,1313,1360,0,2,1,2
springer,72,1454,1526,0,3,1,2
springer,61,1489,1550,0,4,1,2
springer,88,1620,1708,0,5,1,2
springer,100,905,1005,0,6,0,2
springer,354,1269,1623,0,0,0,2
springer,120,1592,1712,0,1,1,2
springer,64,1466,1530,0,2,1,2
springer,53,1552,1605,0,3,1,2
springer,47,1491,1538,0,4,1,2
springer,149,1597,1746,0,5,1,2
springer,288,1184,1472,0,6,0,2
springer,397,1192,1589,0,0,0,2
springer,208,1705,1913,0,1,1,2
springer,140,1675,1815,0,2,1,2
springer,218,1897,2115,0,3,1,2
springer,259,2216,2475,0,4,1,2
springer,579,2348,2927,0,5,1,2
springer,532,1103,1635,0,6,0,2
springer,639,1173,1812,0,0,0,2
springer,195,912,1107,1,1,0,2
springer,74,1376,1450,0,2,1,2
springer,139,1778,1917,0,3,1,2
springer,100,1707,1807,0,4,1,2
springer,120,1341,1461,0,5,1,2
springer,424,1545,1969,0,6,0,2
springer,694,1708,2402,0,0,0,2
springer,81,1365,1446,0,1,1,2
springer,137,1714,1851,0,2,1,3
springer,231,1903,2134,0,3,1,3
springer,123,1562,1685,0,4,1,3
springer,123,1562,1685,0,4,1,3
springer,123,1562,1685,0,4,1,3
springer,123,1562,1685,0,4,1,3
summer,179,1506,1685,0,4,1,3
summer,179,1506,1685,0,4,1,3
summer,179,1506,1685,0,4,1,3
summer,179,1506,1685,0,4,1,3
springer,214,1730,1944,0,5,1,3
springer,640,1437,2077,0,6,0,3
springer,640,1437,2077,0,6,0,3
springer,640,1437,2077,0,1,1,3
springer,640,1437,2077,0,1,1,3
summer,401,1676,2077,0,6,0,3
summer,401,1676,2077,0,6,0,3
summer,401,1676,2077,0,1,1,3
summer,401,1676,2077,0,1,1,3
springer,114,491,605,0,0,0,3
springer,244,1628,1872,0,1,1,3
springer,316,1817,2133,0,2,1,3
springer,191,1700,1891,0,3,1,3
springer,46,577,623,0,4,1,3
springer,247,1730,1977,0,5,1,3
springer,247,1730,1977,0,5,1,1
springer,247,1730,1977,0,0,0,3
springer,247,1730,1977,0,0,0,1
springer,196,1781,1977,0,5,1,3
springer,196,1781,1977,0,5,1,1
springer,196,1781,1977,0,0,0,3
springer,196,1781,1977,0,0,0,1
springer,724,1408,2132,0,6,0,3
springer,982,1435,2417,0,0,0,3
springer,359,1687,2046,0,1,1,3
springer,289,1767,2056,0,2,1,3
springer,321,1871,2192,0,3,1,3
springer,424,2320,2744,0,4,1,3
springer,884,2355,3239,0,5,1,3
springer,1424,1693,3117,0,6,0,3
springer,1047,1424,2471,0,0,0,3
summer,460,2243,2703,0,2,1,3
summer,203,1918,2121,0,3,1,3
summer,166,1699,1865,0,4,1,3
summer,300,1910,2210,0,5,1,3
summer,981,1515,2496,0,6,0,3
summer,472,1221,1693,0,0,0,3
summer,222,1806,2028,0,1,1,3
summer,317,2108,2425,0,2,1,3
summer,317,2108,2425,0,2,1,11
summer,317,2108,2425,1,4,0,3
summer,317,2108,2425,1,4,0,11
winter,955,1470,2425,0,2,1,3
winter,955,1470,2425,0,2,1,11
winter,955,1470,2425,1,4,0,3
winter,955,1470,2425,1,4,0,11
summer,168,1368,1536,0,3,1,3
summer,307,1920,2227,0,5,1,4
